Participant ID,Game ID,Round 1,Round 2,Round 3,Disorder,Website Choice
0,0,Sleep disturbance. Dental abnormalities. Stretchy skin. Persistent blue hands/feet. Fatigue,Thin skin. Frequent joint dislocation. Migraine. Joint pain. Limitation of joint mobility,Muscle pain. Constipation. Soft skin. Extra bones in the cranium. Keratoconus,Hypermobile Ehlers-Danlos syndrome,1. Collaborative Filtering
0,1,Picture: Conjunctival telangiectasia. Joint pain. Cognitive impairment,Nausea and vomiting. Lack of sweating. Spider veins,Nephrotic syndrome. Abnormal renal tubule morphology. Abnormal aortic valve morphology,Fabry disease,2. Malady Help
0,2,Feeding difficulties in infancy. Arthrogryposis multiplex congenita (bent joints that cannot be straightened). Susceptable to bleeding. Developmental regression. Abdominal pain,Fatigue. Fever. Difficulty swallowing. Bilateral tonic-clonic seizure,Retinopathy. Ataxia. Enlarged liver. Bone death due to lack of blood supply,Gaucher disease,3. Google Custom
1,0,Gum enlargement. Foot deformity. Drooping upper eyelid. Abnormality of the wrist. Genital hernia. Dry eyes. Arrhythmia,Vertigo. Breathing stops (episodes). Muscle pain. Depressivity. Frequent joint dislocation. Constipation,Bladder hernia. Joint pain. Joint hyperflexibility. Stretchy skin. Scoliosis. Decreased nerve conduction velocity,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
1,1,Picture: thick lower lip. Anemia. Behavioral abnormality. Picture: Angiokeratoma (small raised dark-red spot). Seizure. Extreme thirst. Fatigue,Breathing difficulties. Vision loss. Mini-stroke. Picture: Subcutaneous nodule (skin lesion). Cognitive impairment. Hearing impairment,Abnormal aortic valve morphology. Cataract. Atrioventricular block. Abnormality of the endocardium. Nephrotic syndrome. Achalasia,Fabry disease,3. Google Custom
1,2,Abnormal bone structure. Misalignment of the eyes. Anemia. Bone pain. Involuntary movements. Joint pain,Fatigue. Difficulty swallowing. Paralysis or weakness of one side of the body. Tremor. Bone death due to lack of blood supply. Englarged spleen,Calcium deposits in the aortic valve. Retinopathy. Abnormal heart valve morphology. Abnormal pericardium morphology. Osteopenia: Decreased bone density. Calcium deposits in the mitral valve,Gaucher disease,1. Collaborative Filtering
2,0,Foot deformity. Abnormal palate (roof of the mouth). Muscle pain. Vertigo. Malabsorption,Frequent joint dislocation. Limitation of joint mobility. Thin skin. Acid reflux. Constipation,Joint pain. Arrhythmia. Joint hyperflexibility. Decreased fertility. Decreased nerve conduction velocity,Hypermobile Ehlers-Danlos syndrome,1. Collaborative Filtering
2,1,Delayed puberty. Congestive heart failure. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Hearing impairment. Cognitive impairment. Abdominal pain,Mini-stroke. Picture: Angiokeratoma (small raised dark-red spot). Picture: Subcutaneous nodule (skin lesion). Corneal opacity. Blood in urine. Optic atrophy,Kidney damage/Kidney disease. Atrioventricular block. Renal insufficiency. Malabsorption. Abnormal renal tubule morphology,Fabry disease,2. Malady Help
2,2,Feeding difficulties in infancy. Abnormal skin pigmentation. Anemia. Developmental regression. Fatigue,Corneal opacity. Bone pain. Osteolysis: Breakdown of bone. Enlarged liver,Low platelet count. Retinopathy. Pulmonary arterial hypertension: High blood pressure in lungs. Calcium deposits in the mitral valve,Gaucher disease,3. Google Custom
3,0,Gum enlargement. Dental abnormalities. Fatigue. Joint hyperflexibility. Thin skin,Vertigo. Persistent blue hands/feet. Arrhythmia. Muscle pain. Nausea and vomiting,Soft skin. Depressivity. Constipation. Decreased nerve conduction velocity,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
3,1,Muscle pain. Arthritis. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Behavioral abnormality. Picture: Angiokeratoma (small raised dark-red spot). Blurred vision,Picture: Subcutaneous nodule (skin lesion). Abdominal pain. Joint pain. Spider veins. Mini-stroke. Hypertrophic cardiomyopathy,Kidney damage/Kidney disease. Diabetes insipidus. Mitral regurgitation. Renal insufficiency. Glomerulopathy (diseased blood vessels in the kidneys),Fabry disease,1. Collaborative Filtering
3,2,Delayed puberty. Breathing difficulties. Anemia. Fatigue. Abdominal pain,Blood in urine. Fever. Difficulty with horizontal voluntary eye movements. Generalized myoclonic seizures. Abnormal pericardium morphology,Enlarged liver. Calcium deposits in the aortic valve. Abnormal heart valve morphology. Ataxia,Gaucher disease,3. Google Custom
4,0,Sleep disturbance. Flat feet. Foot deformity. Vertigo. Joint pain. Constipation,Persistent blue hands/feet. Tingling/pins and needles. Menstrual abnormalities (frequency heaviness irregularity). Breathing stops (episodes). Arrhythmia,Stretchy skin. Dry eyes. Muscle pain. Extra bones in the cranium. Gastrointestinal dysmotility,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
4,1,Short stature. Muscle pain. Abdominal pain. Hearing impairment. Picture: Subcutaneous nodule (skin lesion). Mini-stroke. Nausea and vomiting,Picture: Conjunctival telangiectasia. Congestive heart failure. Blood in urine. Spider veins. Lack of sweating. Arthritis. Joint pain,Abnormal myocardium morphology. Renal insufficiency. Atrioventricular block. Nephrotic syndrome. High blood pressure. Kidney damage/Kidney disease,Fabry disease,1. Collaborative Filtering
4,2,Misalignment of the eyes. Delayed skeletal maturation. Difficulty with horizontal voluntary eye movements. Hearing impairment. Developmental regression,Fever. Depressivity. Double vision. Osteopenia: Decreased bone density. Interstitial pulmonary abnormality,Abnormal heart valve morphology. Calcium deposits in the mitral valve. Ataxia. Englarged spleen. Enlarged liver,Gaucher disease,3. Google Custom
5,0,Gum enlargement. Flat feet. Muscle pain. Joint hyperflexibility. Vertigo. Constipation,Umbilical hernia. Dry eyes. Persistent blue hands/feet. Soft skin. Abnormal anus or rectum. Fatigue,Osteoarthritis. Stretchy skin. Joint pain. Gastrointestinal dysmotility. Keratoconus,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
5,1,Picture: thick lower lip. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Picture: Angiokeratoma (small raised dark-red spot). Nausea and vomiting. Chest pain,Vision loss. Arthritis. Fatigue. Muscle pain. Mini-stroke,Abnormal aortic valve morphology. Kidney damage/Kidney disease. Corneal dystrophy. Elevated or lowered cholesteral. Renal insufficiency,Fabry disease,2. Malady Help
5,2,Abnormal bone structure. Delayed puberty. Bone pain. Depressivity,Breathing difficulties. Fatigue. Recurrent fractures. Anemia,Englarged spleen. Bilateral tonic-clonic seizure. Abnormality of the skeletal system. Abnormal macular morphology,Gaucher disease,1. Collaborative Filtering
6,0,Sleep disturbance. Foot deformity. Flat feet. Thin skin. Joint pain. Arrhythmia. Vertigo,Fatigue. Depressivity. Osteoarthritis. Joint hyperflexibility. Nausea and vomiting. Persistent blue hands/feet,Dry eyes. Constipation. Migraine. Muscle pain. Extra bones in the cranium. Decreased nerve conduction velocity,Hypermobile Ehlers-Danlos syndrome,1. Collaborative Filtering
